indice;Estandar;Marca;Clasificacion_MICRO;Clasificacion_MACRO;url_imagen_equipo
8883;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
9007;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
9086;Huawei Mate 20 Lite;Huawei;Mate 20 Lite;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7888;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8023;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8029;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8088;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8219;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8365;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8392;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8481;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8545;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8650;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8662;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8723;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
8756;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
9019;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
9078;Huawei Mate 20 Pro;Huawei;Mate 20 Pro;Mate;https://www.r-store.cl/wp-content/uploads/2022/10/huawei-1-14.png
7931;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
8116;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
8173;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
8603;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
8675;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
9053;Huawei Mate 30 Pro;Huawei;Mate 30 Pro;Mate;https://www.proandroid.com/wp-content/uploads/2019/09/huawei-mate-30-completa.jpg
7946;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8028;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8121;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8187;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8196;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8519;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8614;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8740;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8937;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8956;Huawei Mate 40 Pro;Huawei;Mate 40 Pro;Mate;https://cdn.dxomark.com/wp-content/uploads/medias/post-67563/mate-40-pro-plus.jpg
8067;Huawei Mate 9 Lite;Huawei;Mate 9 Lite;Mate;https://http2.mlstatic.com/D_NQ_NP_895806-MLC28219572765_092018-O.webp
8190;Huawei Mate 9 Lite;Huawei;Mate 9 Lite;Mate;https://http2.mlstatic.com/D_NQ_NP_895806-MLC28219572765_092018-O.webp
8573;Huawei Mate 9 Lite;Huawei;Mate 9 Lite;Mate;https://http2.mlstatic.com/D_NQ_NP_895806-MLC28219572765_092018-O.webp
9096;Huawei Mate 9 Lite;Huawei;Mate 9 Lite;Mate;https://http2.mlstatic.com/D_NQ_NP_895806-MLC28219572765_092018-O.webp
7982;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8002;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8009;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8034;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8036;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8508;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8606;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8744;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8808;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8904;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
9032;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
9052;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
9085;Huawei Nova 5T;Huawei;Nova 5T;Nova;https://www.elcocotecnologico.cl/wp-content/uploads/2023/07/huawei-nova-5t-128go-bleu.webp
8567;Huawei Nova 7;Huawei;Nova 7;Nova;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
8828;Huawei Nova 7;Huawei;Nova 7;Nova;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
8635;Huawei Nova 7 Se;Huawei;Nova 7 Se;Nova;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
8787;Huawei Nova 7I;Huawei;Nova 7I;Nova;https://specs-tech.com/wp-content/uploads/2020/04/specs-tech-169.jpg
8541;Huawei Nova 8;Huawei;Nova 8;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8685;Huawei Nova 8;Huawei;Nova 8;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8690;Huawei Nova 8;Huawei;Nova 8;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
7968;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
7988;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8069;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8148;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8155;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8202;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8257;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8275;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8300;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8378;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8500;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8509;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8510;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8525;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8623;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8730;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8747;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8898;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8903;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8936;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
8954;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
9090;Huawei Nova 8I;Huawei;Nova 8I;Nova;https://media.solotodo.com/media/products/1479669_picture_1634828659.webp
7915;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8025;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8057;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8141;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8200;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8246;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8340;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8418;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8430;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8491;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8549;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8597;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8634;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8637;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8644;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8691;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8692;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8807;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8897;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8919;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8950;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8987;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
9042;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
9091;Huawei Nova 9;Huawei;Nova 9;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
7899;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8059;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8083;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8106;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8343;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8515;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8517;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8639;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8653;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
8864;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
9031;Huawei Nova 9 Se;Huawei;Nova 9 Se;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/cn/mkt/pdp/phones/nova9/list-blue.png
7905;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
8044;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
8183;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
8815;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
8931;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
9017;Huawei Nova Y60;Huawei;Nova Y60;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova-y60/specs/list-old/color-id-green@2x.png
7868;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8108;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8171;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8414;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8498;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8624;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8729;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8918;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8942;Huawei Nova Y70;Huawei;Nova Y70;Nova;https://media.solotodo.com/media/products/1589886_picture_1652265672.png
8629;Huawei Nova Y90;Huawei;Nova Y90;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova-y90/list/blue.png
8995;Huawei Nova Y90;Huawei;Nova Y90;Nova;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova-y90/list/blue.png
9024;Huawei P Smart;Huawei;P Smart;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
7930;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8018;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8050;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8064;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8115;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8134;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8182;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8267;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8271;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8658;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8684;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8715;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8813;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
9054;Huawei P Smart 2019;Huawei;P Smart 2019;P;https://media.solotodo.com/media/products/880299_picture_1552675157.jpg
8030;Huawei P10;Huawei;P10;P;https://http2.mlstatic.com/D_NQ_NP_825891-MLC25537702931_042017-O.webp
