titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Celular Huawei ,60000,11-03-2023,16:55:12,"Estación Central, Región Metropolitana"
Huawei P20 Pro ,65000,11-03-2023,15:52:14,"La Florida, Región Metropolitana"
Pantalla P30 Compatible Huawei Galaxy P30 +Kit,95900,11-03-2023,11:44:04,"Providencia, Región Metropolitana"
Flex De Carga Huawei P30,7500,11-03-2023,11:23:28,"Providencia, Región Metropolitana"
Huawei mate 20 lite,90000,11-03-2023,07:13:43,"Quilicura, Región Metropolitana"
Huawei p30 PRO,350000,10-03-2023,23:19:28,"Quilicura, Región Metropolitana"
Huawei y9 prime,60000,10-03-2023,15:08:05,"Puente Alto, Región Metropolitana"
Huawei P30,185000,09-03-2023,15:13:22,"Estación Central, Región Metropolitana"
Huawei Mate 20 Lite,50000,09-03-2023,15:12:20,"La Florida, Región Metropolitana"
Iphone 6 y Hauwei Y6ii,45000,09-03-2023,12:59:20,"Santiago, Región Metropolitana"
Smartwatch Huawei GT 2-454,60000,08-03-2023,18:24:35,"Macul, Región Metropolitana"
Huawei ac nova 9 negro,180000,07-03-2023,23:44:35,"Peñalolén, Región Metropolitana"
Huawei wi-fi 4g,30000,07-03-2023,23:42:52,"Estación Central, Región Metropolitana"
Huawei watch gt 3,100000,07-03-2023,09:28:45,"Santiago, Región Metropolitana"
Huawei Nova SE 128Gb Negro [Re acondicionado],199000,06-03-2023,20:56:03,"Las Condes, Región Metropolitana"
Huawei P 9 camara leica,55000,06-03-2023,17:53:21,"Las Condes, Región Metropolitana"
Huawei Y9A 128G,100000,06-03-2023,16:26:25,"La Florida, Región Metropolitana"
Huawei 9ya,120000,05-03-2023,19:56:15,"Peñaflor, Región Metropolitana"
Huawei P40 lite,110000,05-03-2023,19:27:56,"San Bernardo, Región Metropolitana"
Telefono Huawei P-30 Pro (VOGL04),350000,05-03-2023,16:24:37,"Las Condes, Región Metropolitana"
Huawei watch fit ,40000,05-03-2023,15:56:53,"Conchalí, Región Metropolitana"
Auricular Huawei Mate 1 Mate 2 Mate 7 Mate 8 Mate,6400,04-03-2023,15:39:55,"Providencia, Región Metropolitana"
Altavoz Parlante Huawei Mate 8 Repuesto De Sonido,9800,04-03-2023,15:35:21,"Providencia, Región Metropolitana"
Botón Home Huawei Mate 8 Botón Touch Id Boton Inic,13900,04-03-2023,12:22:22,"Providencia, Región Metropolitana"
Huawei mate 20 Lite dúos,65000,04-03-2023,11:37:52,"Santiago, Región Metropolitana"
Pantalla Mate 8 Compatible Con Huawei Mate 8,38900,04-03-2023,11:37:04,"Providencia, Región Metropolitana"
Celular Huawei P30 128GB impecable carcaza incluid,170000,04-03-2023,10:35:10,"La Florida, Región Metropolitana"
Celular Huawei y7,60000,03-03-2023,10:25:24,"Pudahuel, Región Metropolitana"
Huawei Watch Fit Elegant version,60000,03-03-2023,05:58:49,"Quinta Normal, Región Metropolitana"
Huawei P20 Negro 4GB 128GB,140000,03-03-2023,01:08:48,"Quilicura, Región Metropolitana"
Huawei p30pro,220000,03-03-2023,01:06:06,"Maipú, Región Metropolitana"
Huawey y9a,95000,02-03-2023,09:46:08,"Santiago, Región Metropolitana"
Huawei Y9A 2023,100000,01-03-2023,21:14:20,"Santiago, Región Metropolitana"
Huawei y7a semi usado,200000,01-03-2023,15:37:33,"Macul, Región Metropolitana"
Huawei b2368-a22,150000,01-03-2023,09:40:21,"Santiago, Región Metropolitana"
Huawei Y7 2019,45000,28-02-2023,11:21:07,"Pudahuel, Región Metropolitana"
Huawei mate 20 pro,100000,28-02-2023,09:34:46,"La Pintana, Región Metropolitana"
Celular Huawei p40 lite,120000,28-02-2023,00:02:46,"Recoleta, Región Metropolitana"
2x1 Huawei P20 Lite y Iphone 7,120000,27-02-2023,16:10:31,"Recoleta, Región Metropolitana"
Huawei P30 Pro Piedra Luna 128Gb [Re acondicionado,249990,27-02-2023,15:07:19,"Las Condes, Región Metropolitana"
Huawei Nova 128Gb Azul [Re acondicionado],219990,27-02-2023,13:57:29,"Las Condes, Región Metropolitana"
Huawei P40 PLATA 128Gb [Re acondicionado],249990,27-02-2023,13:56:18,"Las Condes, Región Metropolitana"
Huawei P30 PRO,280000,26-02-2023,18:32:33,"Puente Alto, Región Metropolitana"
Cargador para Huawei Honor Band 4 y 5,5000,26-02-2023,18:27:16,"San Miguel, Región Metropolitana"
Huawei repetidor y amplificador de señal,25000,26-02-2023,14:31:48,"Santiago, Región Metropolitana"
Smart watch Huawei,80000,26-02-2023,11:36:34,"Ñuñoa, Región Metropolitana"
Funda transparente Huawei Y9 2019,2000,25-02-2023,16:49:50,"La Florida, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
