titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Cambio de bateria huawei mate 8,24990,19-08-2022,12:39:35,"Providencia, Región Metropolitana"
Huawei P30,170000,19-08-2022,00:00:21,"Puente Alto, Región Metropolitana"
Huawei y9 128 gb usado,45000,18-08-2022,18:39:10,"La Florida, Región Metropolitana"
Huawei P40 Lite,160000,18-08-2022,17:44:27,"San Miguel, Región Metropolitana"
Smartphone Huawei P Smart,65000,18-08-2022,16:33:48,"La Florida, Región Metropolitana"
Huawei P30 Lite,75000,18-08-2022,14:12:06,"Ñuñoa, Región Metropolitana"
Flex de carga huawei p10,6400,17-08-2022,12:33:03,"Providencia, Región Metropolitana"
Auricular huawei mate 9 pro,8900,17-08-2022,12:15:20,"Providencia, Región Metropolitana"
 SERVICIO TÉCNICO Altavoz huawei mate 20 lite,165000,17-08-2022,11:23:14,"Providencia, Región Metropolitana"
Pantalla Huawei Mate 20 Pro,45000,17-08-2022,11:11:29,"Providencia, Región Metropolitana"
Huawei y9 prime,280000,17-08-2022,08:53:49,"La Florida, Región Metropolitana"
Huawei Nova 9se,170000,17-08-2022,08:16:14,"Santiago, Región Metropolitana"
Huawei 5 Nova t,300000,16-08-2022,22:20:46,"La Pintana, Región Metropolitana"
Samsung Note 10 + / Huawei P Smart 2019,185000,16-08-2022,19:32:38,"Las Condes, Región Metropolitana"
Huawei y5 64gb,50000,16-08-2022,19:29:44,"Quilicura, Región Metropolitana"
"por renovación, smartphone HUAWEI P30",80000,16-08-2022,17:00:40,"Santiago, Región Metropolitana"
Huawei p30 lite,19990,16-08-2022,15:22:59,"La Florida, Región Metropolitana"
Huawei P40 Lite,120000,16-08-2022,13:30:32,"La Florida, Región Metropolitana"
Cambio de altavoz parlante huawei mate 9,220000,16-08-2022,12:44:38,"Providencia, Región Metropolitana"
Huawei Y9a,139000,15-08-2022,16:12:46,"Talagante, Región Metropolitana"
Huawei watch GT 3 + extras,250000,15-08-2022,15:15:05,"Macul, Región Metropolitana"
Smartwatch Huawei Gt2 Pro Black,170000,15-08-2022,02:05:56,"Ñuñoa, Región Metropolitana"
Huawei nova 9,220000,14-08-2022,18:44:28,"Santiago, Región Metropolitana"
Huawei p20 lite,60000,14-08-2022,14:17:51,"Santiago, Región Metropolitana"
Celular Huawei pP40 lite,10500,14-08-2022,14:06:41,"San Miguel, Región Metropolitana"
Huawei P40,100000,14-08-2022,12:12:47,"La Pintana, Región Metropolitana"
Huawei P40 Impecable Estado,15000,13-08-2022,22:14:04,"La Florida, Región Metropolitana"
Teléfono Huawei,270000,13-08-2022,18:21:11,"La Reina, Región Metropolitana"
Bandeja Sim Huawei Ascend P8,250000,13-08-2022,15:02:20,"Providencia, Región Metropolitana"
Cambio de cristal glass huawei mate 40 pro,2400000,13-08-2022,14:38:45,"Providencia, Región Metropolitana"
Huawei Band 4 Pro pulsera electrónica,55000,13-08-2022,14:16:51,"Maipú, Región Metropolitana"
Huawei P40 No Normal,95000,13-08-2022,12:31:37,"Padre Hurtado, Región Metropolitana"
Huawei Nova5t + Huawei Watch Fit,27990,13-08-2022,12:09:35,"Providencia, Región Metropolitana"
Huawei mate 30 pro dual,8800,12-08-2022,16:05:10,"Maipú, Región Metropolitana"
Celular Huawei P Smart 2019 64gb,9990,12-08-2022,14:01:43,"La Florida, Región Metropolitana"
Huawei P30 Leica,220000,12-08-2022,13:22:23,"Pudahuel, Región Metropolitana"
Cambio de bateria huawei mate 20 lite,60000,12-08-2022,11:46:42,"Providencia, Región Metropolitana"
Correa De Silicona Para Huawei Watch Fit 2,45000,12-08-2022,09:24:55,"Ñuñoa, Región Metropolitana"
Adaptador usb-c a jack 3.5mm huawei cm20 para audí,22990,11-08-2022,20:14:24,"La Florida, Región Metropolitana"
"Celular HuaweI P30 PRO , 8 GB En RAM, 256 GB en ai",7990,11-08-2022,20:08:58,"Estación Central, Región Metropolitana"
Huawey p30 lite,100000,11-08-2022,19:45:50,"Maipú, Región Metropolitana"
Huawei p40 lite,80000,11-08-2022,15:06:02,"La Florida, Región Metropolitana"
Cambio de pantalla huawei mate 20,0,11-08-2022,13:47:34,"Providencia, Región Metropolitana"
Instalación de lente de camara trasera huawei p10,0,11-08-2022,13:18:36,"Providencia, Región Metropolitana"
Cable Usb A Usb Tipo C 2.0 Amp 1 Mt Huawei,0,11-08-2022,11:58:37,"La Florida, Región Metropolitana"
Celular HUAWEI Y9S,0,10-08-2022,20:16:13,"Santiago, Región Metropolitana"
Celular Huawei Y9,0,10-08-2022,18:11:44,"Lo Barnechea, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
