titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Huawei y7 impecable estado ,80000,10-08-2022,17:01:27,"Macul, Región Metropolitana"
Funda De Silicona Para Huawei Watch Fit 2,8900,10-08-2022,14:36:50,"Ñuñoa, Región Metropolitana"
Altavoz Huawei Mate 10 Lite,9800,10-08-2022,12:58:15,"Providencia, Región Metropolitana"
Huawei p30 Lite,100000,09-08-2022,21:55:04,"Independencia, Región Metropolitana"
Huawei mate 10lite,60000,09-08-2022,12:44:54,"San Bernardo, Región Metropolitana"
Oferta-instalación de tapa trasera huawei nova 5,17990,09-08-2022,12:15:37,"Providencia, Región Metropolitana"
Oferta- tapa trasera huawei p30 lite,17990,09-08-2022,11:57:57,"Providencia, Región Metropolitana"
Oferta-instalación de tapa trasera huawei p20 lite,17990,09-08-2022,11:53:51,"Providencia, Región Metropolitana"
instalación de tapa trasera huawei p20 pr,17990,09-08-2022,11:50:08,"Providencia, Región Metropolitana"
Huawei GT3,130000,08-08-2022,18:54:07,"La Florida, Región Metropolitana"
 Reloj huawey gt2,100000,08-08-2022,15:07:58,"Conchalí, Región Metropolitana"
Cambio de pin de carga huawei y6 2018,14990,08-08-2022,13:52:44,"Providencia, Región Metropolitana"
Cambio de auricular huawei p30 pro,27990,08-08-2022,13:43:22,"Providencia, Región Metropolitana"
Dos huawei Y9II detalles,25000,08-08-2022,01:35:21,"Estación Central, Región Metropolitana"
Huawei fit pink,50000,07-08-2022,23:33:15,"Providencia, Región Metropolitana"
Celular Huawei mate 10 ,60000,07-08-2022,21:41:59,"La Granja, Región Metropolitana"
Huawei Mate 20 Pro + Smartwach Fit,220000,07-08-2022,19:13:38,"Maipú, Región Metropolitana"
SmartPhone Huawei P10,100000,07-08-2022,18:55:39,"Santiago, Región Metropolitana"
Huawei y9 prime,105000,07-08-2022,13:06:42,"Puente Alto, Región Metropolitana"
Huawei Y9s,110000,07-08-2022,11:08:42,"Santiago, Región Metropolitana"
Reloj inteligente Huawei 4 pro,25000,06-08-2022,15:42:20,"Lo Espejo, Región Metropolitana"
Huawei Y9Prime 2019,80000,06-08-2022,14:40:00,"Maipú, Región Metropolitana"
Huawei p40 lite,120000,05-08-2022,21:39:53,"Paine, Región Metropolitana"
Celular Huawei Nova 5T 8GB RAM. azul,130000,05-08-2022,15:49:05,"Santiago, Región Metropolitana"
Huawei mate 20 lite,4500,05-08-2022,14:32:00,"Estación Central, Región Metropolitana"
Bandeja dual sim huawei mate 10 pro,80000,05-08-2022,12:51:43,"Providencia, Región Metropolitana"
Smartwatch Huawei Watch GT 2 42mm,73000,05-08-2022,11:51:42,"Santiago, Región Metropolitana"
Teléfono Huawei p20 Lite Conversable,140000,04-08-2022,23:15:03,"Pudahuel, Región Metropolitana"
Huawei nova 8i,300000,04-08-2022,22:42:15,"Peñalolén, Región Metropolitana"
Celular Huawei Nova 9,10000,04-08-2022,14:23:29,"Puente Alto, Región Metropolitana"
Pulsera SmartWhatch Samsung Huawei,9900,04-08-2022,06:00:16,"Vitacura, Región Metropolitana"
Huawei Y7 2019,60000,04-08-2022,01:32:17,"Santiago, Región Metropolitana"
Bateria Huawei Mate 9 / Mate 9 Pro,24990,03-08-2022,23:49:28,"Macul, Región Metropolitana"
HUAWEI Y9 a,27990,03-08-2022,21:45:29,"Santiago, Región Metropolitana"
Huawei Mate 9 Lite dorado,35000,03-08-2022,14:44:31,"San Miguel, Región Metropolitana"
Instalación de flex de carga huawei mate 10 pro,12000,03-08-2022,13:42:33,"Providencia, Región Metropolitana"
Cambio de bateria huawei mate 10 lite,200000,03-08-2022,13:34:24,"Providencia, Región Metropolitana"
Huawei P20 Lite,45000,03-08-2022,12:53:43,"Santiago, Región Metropolitana"
Caja Huawei P20,230000,03-08-2022,12:04:38,"Santiago, Región Metropolitana"
Huawei p30 pro 256 gb memoria interna 8 gb ram,80000,02-08-2022,16:02:30,"Huechuraba, Región Metropolitana"
Huawei watch fit,100000,02-08-2022,14:47:03,"La Cisterna, Región Metropolitana"
Cámara trasera huawei mate 9,0,02-08-2022,13:03:44,"Providencia, Región Metropolitana"
Huawei nova 9se,0,02-08-2022,07:59:16,"Santiago, Región Metropolitana"
Reloj huawei gt2 ,0,01-08-2022,22:55:07,"Pudahuel, Región Metropolitana"
HUAWEI Y7p,0,01-08-2022,19:31:06,"Puente Alto, Región Metropolitana"
Smarwatch huawei Gt 2 Pro,0,01-08-2022,18:41:23,"El Bosque, Región Metropolitana"
Huawei p30 lite,0,01-08-2022,17:38:17,"Las Condes, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
