titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Huawei Nova 9,150000,05-01-2023,00:00:52,"Melipilla, Región Metropolitana"
Huawei Y7 2019,60000,04-01-2023,20:38:27,"Quinta Normal, Región Metropolitana"
Huawei p40 lite 128gb 6gb ram,113000,04-01-2023,14:25:46,"Santiago, Región Metropolitana"
Huawei y7 impecable,65000,04-01-2023,13:43:51,"La Cisterna, Región Metropolitana"
Altavoz Huawei Honor 8 Parlante Buzzer Auricular T,12900,04-01-2023,12:20:51,"Macul, Región Metropolitana"
Flex De Carga Huawei Honor 7 Lite Honor 5c,7900,04-01-2023,12:19:02,"Macul, Región Metropolitana"
Lente Camara Trasera Huawei Honor 9 Lite Vidrio Cá,7500,04-01-2023,12:13:23,"Macul, Región Metropolitana"
Lente Camara Trasera Huawei Honor 9 Lite + Kit De,9900,04-01-2023,12:08:00,"Macul, Región Metropolitana"
Huawei P40 lite,140000,04-01-2023,11:43:20,"Buin, Región Metropolitana"
TABLET HUAWEI T10s *PRECIO CONVERSABLE,90000,03-01-2023,17:30:36,"Lo Prado, Región Metropolitana"
Reloj huawei watch fit,70000,03-01-2023,17:16:25,"Santiago, Región Metropolitana"
Carcaza con anillo Huawei P30 lite,4000,03-01-2023,14:25:30,"Santiago, Región Metropolitana"
Celular Huawei,50000,02-01-2023,16:17:06,"Recoleta, Región Metropolitana"
Huawei p40 lite,100000,01-01-2023,20:57:14,"Puente Alto, Región Metropolitana"
Botón De Volumen Y Encendido Huawei Ascend G7 L01,4500,31-12-2022,11:33:53,"Macul, Región Metropolitana"
Carcasa IRM Huawei Y5 II,2000,30-12-2022,20:43:44,"Santiago, Región Metropolitana"
Huawei p40 lite,95000,30-12-2022,14:48:00,"El Bosque, Región Metropolitana"
Huawei p50 256 GB y 8 GB de RAM,450000,30-12-2022,10:16:35,"Las Condes, Región Metropolitana"
Huawei nova 7 SE 5G,100000,29-12-2022,11:02:18,"Las Condes, Región Metropolitana"
Huawei yo 2019,70000,29-12-2022,01:50:16,"Maipú, Región Metropolitana"
Lente Camara Trasera Huawei P30 Pro,5500,28-12-2022,13:11:02,"Macul, Región Metropolitana"
Flex De Carga Huawei P30 Lite,7500,28-12-2022,12:49:01,"Macul, Región Metropolitana"
Lamina Mica Glass 9d Full Huawei P30 Lite,3790,28-12-2022,12:44:57,"Macul, Región Metropolitana"
Camara Trasera Huawei P30 Pro,39900,28-12-2022,12:42:08,"Macul, Región Metropolitana"
Huawei mate 9 lite,25000,28-12-2022,11:39:15,"La Cisterna, Región Metropolitana"
Reloj Inteligente Huawei Band 4 ,30000,27-12-2022,23:37:40,"Puente Alto, Región Metropolitana"
Reloj huawei smart fit 2,100000,26-12-2022,22:38:47,"Huechuraba, Región Metropolitana"
Huawei y9 prime2019,60000,26-12-2022,15:56:35,"Cerrillos, Región Metropolitana"
Audífonos Huawei Free Buds 3 Usados,70000,26-12-2022,08:40:26,"Santiago, Región Metropolitana"
Huawei P50 pro,800000,25-12-2022,19:30:31,"Peñalolén, Región Metropolitana"
Audifonos bluetooth freebuds i3 huawei,40000,25-12-2022,18:10:36,"Peñalolén, Región Metropolitana"
Huawei Y5 2018,50000,25-12-2022,14:40:30,"San Bernardo, Región Metropolitana"
Celular Huawei y9,90000,25-12-2022,12:09:48,"San Miguel, Región Metropolitana"
Reloj inteligente Huawei watch precio conversable,80000,24-12-2022,13:09:33,"Estación Central, Región Metropolitana"
Huawei Watch GT Sport,100000,23-12-2022,14:16:00,"Puente Alto, Región Metropolitana"
Huawei p30,100000,23-12-2022,12:20:58,"Lo Barnechea, Región Metropolitana"
Reloj inteligente Huawei watch Gt,60000,21-12-2022,21:16:01,"Maipú, Región Metropolitana"
Tablet Huawei matepad T10,70000,21-12-2022,20:56:45,"Providencia, Región Metropolitana"
CELULAR HUAWEI MATE20 lite por apuro,5500,21-12-2022,15:58:08,"Puente Alto, Región Metropolitana"
Lente Camara Trasera Huawei P20,3790,21-12-2022,12:33:42,"Macul, Región Metropolitana"
Lamina Mica Glass 9d Full Huawei P20 Lite,4500,21-12-2022,12:30:57,"Macul, Región Metropolitana"
Flex De Carga Huawei P20 Lite,25500,21-12-2022,12:25:26,"Macul, Región Metropolitana"
Pantalla Completa Negra Huawei P20 Lite,200000,21-12-2022,12:20:30,"Macul, Región Metropolitana"
Huawei p40 lite,505000,21-12-2022,00:27:53,"San Miguel, Región Metropolitana"
Nuevo Huawei P50 Pro Gold256 GB,40000,20-12-2022,23:42:31,"San Miguel, Región Metropolitana"
Celular huawei,0,20-12-2022,17:51:44,"Cerro Navia, Región Metropolitana"
Huawei celular,0,20-12-2022,17:43:02,"Cerro Navia, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
