titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Pantalla P30 Compatible Con Huawei Galaxy P30 Oled,89900,23-03-2023,11:44:52,"Providencia, Región Metropolitana"
Huawei p30 leica ,45000,23-03-2023,08:55:34,"Ñuñoa, Región Metropolitana"
Pantalla Glass/LCD huawei MediaPad t5,11000,23-03-2023,07:25:20,"Providencia, Región Metropolitana"
Huawei watch 2,20000,22-03-2023,13:06:01,"Providencia, Región Metropolitana"
Huawei Novo Nuevo,260000,22-03-2023,12:49:41,"Pudahuel, Región Metropolitana"
Celular huawei y9A,85000,22-03-2023,11:44:44,"San Ramón, Región Metropolitana"
Huawei y6 2019,50000,21-03-2023,19:50:57,"La Florida, Región Metropolitana"
Reloj smartwatch huawei nuevo,200000,21-03-2023,16:37:49,"Maipú, Región Metropolitana"
Auricular Huawei Mate 9,6400,21-03-2023,15:20:50,"Providencia, Región Metropolitana"
Bandeja Huawei Mate 8 Nano Sim Y Micro Sd,5900,21-03-2023,15:17:10,"Providencia, Región Metropolitana"
HUAWEI Y9a CERO KILÓMETROS,95000,20-03-2023,16:27:54,"Providencia, Región Metropolitana"
Huawei gt,60000,20-03-2023,16:04:21,"Lo Espejo, Región Metropolitana"
Huawei Y9s,75000,20-03-2023,13:05:41,"Puente Alto, Región Metropolitana"
Huawei p30 Lite 128GB,135000,19-03-2023,22:12:49,"Macul, Región Metropolitana"
Huawei P30 ELE-L29 Liberado Dual SIM,120000,19-03-2023,20:46:14,"Santiago, Región Metropolitana"
Pack Huawei nove9 SE,150000,19-03-2023,15:13:57,"La Florida, Región Metropolitana"
Cargador Huawei Carga Rápida 22.5w,10000,18-03-2023,20:17:57,"Puente Alto, Región Metropolitana"
HUAWEI 9Ys cómo nuevo,130000,18-03-2023,19:50:45,"Providencia, Región Metropolitana"
Celular Huawei Nova 8i,92000,18-03-2023,19:22:21,"Ñuñoa, Región Metropolitana"
Huawei matepad 11,280000,17-03-2023,22:23:44,"Maipú, Región Metropolitana"
Reloj Huawei watch GT2 ( 46mm),45000,17-03-2023,19:48:03,"La Florida, Región Metropolitana"
Celular Huawei Y5,35000,17-03-2023,19:34:24,"Estación Central, Región Metropolitana"
Huawei y7 2019 ,75,17-03-2023,17:12:43,"Quinta Normal, Región Metropolitana"
HUAWEI Y9a,150000,16-03-2023,18:56:01,"Puente Alto, Región Metropolitana"
Tablet huawei matepad t10s,110000,16-03-2023,17:44:44,"Las Condes, Región Metropolitana"
Huawei p30 (normal),170000,16-03-2023,09:37:25,"La Florida, Región Metropolitana"
Huawei p20 pro Negro,110000,15-03-2023,22:59:20,"Las Condes, Región Metropolitana"
Huawei Y9S 128gb con sus accesorios.,90000,15-03-2023,21:42:27,"Maipú, Región Metropolitana"
Hawei p30 lite,80000,15-03-2023,19:18:33,"Santiago, Región Metropolitana"
Huawei p30 piedra luna,200000,15-03-2023,16:33:14,"Santiago, Región Metropolitana"
Huawei P30 128GB perfecto estado,125000,15-03-2023,16:24:02,"Providencia, Región Metropolitana"
Huawei gt2e Dianna rose,100000,15-03-2023,16:05:20,"Colina, Región Metropolitana"
Huawei Gt2 ,70000,15-03-2023,16:05:18,"San Joaquín, Región Metropolitana"
Huawei CAM-L03,25000,15-03-2023,13:56:26,"Peñalolén, Región Metropolitana"
Huawei Y9 2019 64 Gb,65000,14-03-2023,23:19:12,"La Granja, Región Metropolitana"
Huawei y5,30000,14-03-2023,11:22:02,"La Pintana, Región Metropolitana"
Huawei mate 20 lite,70000,13-03-2023,23:03:58,"Santiago, Región Metropolitana"
Huawei P30 128gb Negro Turmalina,110000,13-03-2023,17:58:49,"Providencia, Región Metropolitana"
Reloj Huawei Watch Fit,60000,13-03-2023,17:14:21,"Cerro Navia, Región Metropolitana"
Huawei p40 pro,300000,13-03-2023,16:53:36,"Cerro Navia, Región Metropolitana"
Huawei y6,40000,13-03-2023,16:21:43,"Lo Espejo, Región Metropolitana"
Huawei Smart watch Fit new,60000,13-03-2023,16:19:27,"Puente Alto, Región Metropolitana"
Huawei p30 lite negro 128g,60000,13-03-2023,16:17:18,"Huechuraba, Región Metropolitana"
Huawei y9a,80000,13-03-2023,14:03:13,"San Bernardo, Región Metropolitana"
Huawei y80,100000,13-03-2023,05:00:12,"Macul, Región Metropolitana"
Smart Watch Huawei Band 4 pro,35000,12-03-2023,16:12:37,"Providencia, Región Metropolitana"
Huawei band 6 honor,30000,11-03-2023,22:19:24,"Santiago, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
